method,variant,query_mode,min_collisions,fixed_query_radius,annulus_count,delta,radius_factor,bandwidth_factor,point_precision,point_recall,point_f1,point_fp_ratio,point_fn_ratio,kernel_weighted_recall,kernel_weighted_fp_ratio,kernel_weighted_fn_ratio,signed_kde_bias,kde_abs_relative_error,candidate_expansion_ratio,candidate_size,kde_sample_size,query_time_ms,filter_time_ms,kde_time_ms,build_time_s,raw_hash_size,outer_prefilter_size,inner_prefilter_size,outer_hash_size,inner_hash_size,ring_count,mean_ring_size,max_ring_size,dataset,total_sample_budget,allocation_mode,schedule_base,strict_total_sample_budget,norm_percentile,delta_divisions,norm_quantile,delta_factor_equiv,base_radius,L,K,radius_percentile,hamming_probe,wall_time_s,kde_quality,speed_quality,score_kde,feasible
MECH,full,radius_first,2,40.74413890838623,2,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,0.02373881040396617,0.11934106987536594,3.8872863487241487,1780.0,500.0,2.135271875000022,0.6466665250002279,1.4802365500003134,0.1047615409999949,1800.0,1780.0,1573.975,1780.0,1573.975,2.0,890.0,1573.975,cifar10,500,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.644986166999999,0.880658930124634,0.30747050131023423,0.8287470269067824,True
MECH,full,radius_first,2,40.74413890838623,4,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.07137534121931195,0.17404671461705484,3.8872863487241487,1780.0,248.3,1.8137031999994946,0.8387593750001088,0.9681520749994732,0.1047615409999949,1800.0,1780.0,1723.55,1780.0,1723.55,4.0,445.0,1242.45,cifar10,250,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.5466089580000002,0.8259532853829452,0.4117643834616326,0.8090883105139933,True
MECH,full,radius_first,2,40.74413890838623,6,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.09757486103601934,0.19660796248501128,3.8872863487241487,1780.0,170.0,1.8864645250010526,1.0273875250007336,0.8550645000001467,0.1047615409999949,1800.0,1780.0,1744.85,1780.0,1744.85,6.0,296.66666666666663,1070.45,cifar10,170,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.5653320839999978,0.8033920375149888,0.3881658129389297,0.794319767134347,True
MECH,full,radius_first,2,40.74413890838623,8,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.12831336479339145,0.2956304084538424,3.8872863487241487,1780.0,120.0,2.0152728750000293,1.2263645750000052,0.7822365499997375,0.1047615409999949,1800.0,1780.0,1749.475,1780.0,1749.475,8.0,222.5,949.525,cifar10,120,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.6010194589999998,0.7043695915461576,0.3463895955418611,0.735679800111783,True
MECH,full,radius_first,2,40.74413890838623,10,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.10536958760002291,0.32745150234772946,3.8872863487241487,1780.0,99.975,2.2231363749995126,1.419264600000325,0.7964720250003055,0.1047615409999949,1800.0,1780.0,1761.325,1780.0,1761.325,10.0,178.0,915.025,cifar10,100,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.6578241670000011,0.6725484976522705,0.2789735408764378,0.7114365930036028,True
MECH,full,radius_first,2,40.74413890838623,12,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.10803240728442454,0.31684907833774517,3.8872863487241487,1780.0,80.0,2.3486551999996053,1.6068509750008175,0.7396468999997907,0.1047615409999949,1800.0,1780.0,1769.65,1780.0,1769.65,12.0,148.33333333333331,904.95,cifar10,80,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.6941849999999974,0.6831509216622549,0.23826421014849863,0.7131969931363004,True
MECH,full,radius_first,2,40.74413890838623,14,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.2099430305118024,0.35503703422308064,3.8872863487241487,1780.0,70.0,2.531215649999652,1.7952395999998316,0.7278344500004863,0.1047615409999949,1800.0,1780.0,1769.75,1780.0,1769.75,14.0,127.14285714285715,869.775,cifar10,70,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.7438564159999999,0.6449629657769194,0.1790546554312058,0.6862726619276365,True
MECH,full,radius_first,2,40.74413890838623,16,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.14130155848256645,0.35448452798653757,3.8872863487241487,1780.0,60.0,2.705733250000719,1.977828074999799,0.722405150000327,0.1047615409999949,1800.0,1780.0,1772.6,1780.0,1772.6,16.0,111.25,854.45,cifar10,60,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.7936604170000052,0.6455154720134624,0.12245362609330057,0.6809164374239447,True
MECH,full,radius_first,2,40.74413890838623,18,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.20317592424615305,0.37921763564233957,3.8872863487241487,1780.0,60.0,2.899278100000302,2.1612468749998115,0.7295854000000546,0.1047615409999949,1800.0,1780.0,1772.6,1780.0,1772.6,18.0,98.88888888888889,825.9,cifar10,60,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.8476312090000064,0.6207823643576604,0.059681517532560235,0.6610360173571795,True
MECH,full,radius_first,2,40.74413890838623,20,8.434290091196695,1.0,0.25,0.6422151650101577,1.0,0.7575837680480684,2.887286348724149,0.0,1.0,0.036769268147504454,0.0,-0.08844828026792897,0.3761291849652709,3.8872863487241487,1780.0,50.0,3.0832937499988944,2.3615292250001474,0.720570800000786,0.1047615409999949,1800.0,1780.0,1773.475,1780.0,1773.475,20.0,89.0,806.45,cifar10,50,pilot_neyman_total_budget,1000,True,25,12,101.21148109436035,0.2561324560001254,32.929407787323,12,5,70,2,0.9013622080000019,0.6238708150347291,0.0,0.6567665134763113,True
