dataset,L,K,radius_mode,radius_percentile,bandwidth_factor,delta,angle_alpha,sphere_layer_rule,theta_rule,norm_filter_rule,hamming_threshold_rule,lookup_rule,point_precision,point_recall,point_f1,kernel_weighted_recall,kde_abs_relative_error_vs_exact_r25,kde_abs_relative_error_vs_global,candidate_size,exact_r25_candidate_size,candidate_expansion_ratio,mean_hamming_threshold,mean_theta_deg,query_time_ms,build_time_s
cifar10,20,2,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,0.0,13.096866976334454,2.421395824995898,157.98289237499998
cifar10,20,4,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,0.0,13.096866976334454,2.3804905749955196,157.98289237499998
cifar10,20,6,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,0.0,13.096866976334454,2.3827332750045116,157.98289237499998
cifar10,20,8,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,0.0,13.096866976334454,6.364670799999317,157.98289237499998
cifar10,20,10,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,0.0,13.096866976334454,2.4712947249994954,157.98289237499998
cifar10,20,12,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,1.0118055555555556,13.096866976334454,2.4490657499967483,157.98289237499998
cifar10,20,14,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,1.1984911616161615,13.096866976334454,2.3986916749976217,157.98289237499998
cifar10,20,16,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,1.5644507575757576,13.096866976334454,2.439260450005065,157.98289237499998
cifar10,20,18,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,2.0277777777777777,13.096866976334454,2.4384801750059637,157.98289237499998
cifar10,20,20,query_adaptive_R25,25.0,0.14,7.763739109039307,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.25,1.0,0.39999999999967994,1.0,0.00016157055525020995,0.0,1800.0,450.0,4.0,2.120492424242424,13.096866976334454,2.510546924999346,157.98289237499998
