dataset,L,K,radius_mode,radius_percentile,bandwidth_factor,delta,angle_alpha,sphere_layer_rule,theta_rule,norm_filter_rule,hamming_threshold_rule,lookup_rule,point_precision,point_recall,point_f1,kernel_weighted_recall,kde_abs_relative_error_vs_exact_r25,kde_abs_relative_error_vs_global,candidate_size,exact_r25_candidate_size,candidate_expansion_ratio,mean_hamming_threshold,mean_theta_deg,query_time_ms,build_time_s
isolet,20,2,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2909526022006643,0.7365723084503573,0.41295283158751106,0.9459967675669635,0.05399852215690715,0.054008145753375404,1158.8,450.025,2.5749876816949984,0.0,15.815579646800566,1.2025333249999548,50.815931041999995
isolet,20,4,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.3354196274937961,0.6237969943335797,0.4317324664536499,0.9210705100254106,0.07892043611374376,0.07893612319224208,857.775,450.025,1.9060539541759056,0.0,15.815579646800566,1.5209614250002446,50.815931041999995
isolet,20,6,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.3957400422733229,0.48097228381374724,0.42847763849249443,0.8647920844996815,0.13520132105202048,0.1352165005098467,560.65,450.025,1.245820891845282,0.0,15.815579646800566,2.2824761250006986,50.815931041999995
isolet,20,8,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.4431938048061612,0.3728189209164819,0.3914501464624977,0.7841298604174177,0.21586548422827817,0.21587906794504627,397.35,450.025,0.8829705592510472,0.0,15.815579646800566,3.325539574999681,50.815931041999995
isolet,20,10,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.5998677210882517,0.2778234786893324,0.3667375606286396,0.7089164415174837,0.2910814441534027,0.2910930706902752,212.375,450.025,0.47192916974624294,0.0,15.815579646800566,5.409944775000319,50.815931041999995
isolet,20,12,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.49393821143014216,0.4497512934220252,0.4598195210994421,0.8428919884722397,0.1571040457191296,0.15711686757712107,421.65,450.025,0.9369605814239961,1.0,15.815579646800566,7.053044749999593,50.815931041999995
isolet,20,14,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.5340927656078976,0.385040034491254,0.4210415453013009,0.8254055181769498,0.1745903394640947,0.17460346666379703,339.975,450.025,0.755480413895048,1.125,15.815579646800566,9.079079225000442,50.815931041999995
isolet,20,16,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.5118222404590057,0.4635290711998029,0.4723034583946685,0.8795447419311552,0.12045207757204937,0.1204659659064297,423.025,450.025,0.940018600640552,1.8050000000000002,15.815579646800566,10.925801050000139,50.815931041999995
isolet,20,18,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.566472874594351,0.3794269524513427,0.4306251091983551,0.8345572525800271,0.16544076873573207,0.16545323294702757,317.075,450.025,0.704590169992609,2.0,15.815579646800566,12.472595749999904,50.815931041999995
isolet,20,20,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.5865433026649226,0.34348965262379894,0.40103867520305253,0.8029630651677261,0.1970348157842173,0.19704736604408588,282.85,450.025,0.6285444690810544,2.0450000000000004,15.815579646800566,13.31930417500029,50.815931041999995
