dataset,L,K,radius_mode,radius_percentile,bandwidth_factor,delta,angle_alpha,sphere_layer_rule,theta_rule,norm_filter_rule,hamming_threshold_rule,lookup_rule,point_precision,point_recall,point_f1,kernel_weighted_recall,kde_abs_relative_error_vs_exact_r25,kde_abs_relative_error_vs_global,candidate_size,exact_r25_candidate_size,candidate_expansion_ratio,mean_hamming_threshold,mean_theta_deg,query_time_ms,build_time_s,candidate_to_true_ratio,kde_quality,speed_quality,ratio_quality,score_precision_recall_ratio,feasible
amazon,20,2,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2504802526148778,0.9865482233502538,0.39951530962744314,0.9855976938928646,0.037640164248402705,0.013332817726624849,775.95,197.0,3.938832487309645,0.0,50.32802359873031,1.0221676750035158,119.190086791,3.938832487309645,0.9623598357515973,0.9679844341233355,0.011528662420382196,0.498639565309093,False
amazon,20,4,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2559087535829379,0.7144670050761421,0.3766829208698861,0.721982441525196,0.2427160556214246,0.27156617045116693,551.025,197.0,2.797081218274111,0.0,50.32802359873031,1.34110300000998,119.190086791,2.797081218274111,0.7572839443785754,0.9579949821402205,0.2980573248407645,0.4521384435603176,False
amazon,20,6,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.24674462167130257,0.8300761421319798,0.3788292638849745,0.8214188546149988,0.1424776670919095,0.17218822562258213,654.475,197.0,3.322208121827411,0.51875,50.32802359873031,2.5863592749999498,119.190086791,3.322208121827411,0.8575223329080905,0.9189920031963459,0.16627388535031862,0.46437242200541085,False
amazon,20,8,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2560521598618981,0.541243654822335,0.34630964876734993,0.5593021014916308,0.41541144385077794,0.43290702161008465,416.025,197.0,2.111802030456853,0.9875,50.32802359873031,4.141993725005477,119.190086791,2.111802030456853,0.5845885561492221,0.8702675928749283,0.470031847133758,0.41104889509675296,False
amazon,20,10,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2353957223595904,0.4035532994923858,0.2789745780153912,0.42415538979425377,0.5651359006591086,0.5717027125332254,289.875,197.0,1.4714467005076144,1.11875,50.32802359873031,6.3636155749946965,119.190086791,1.4714467005076144,0.43486409934089143,0.8006836269261688,0.6307324840764331,0.36048578752233273,False
amazon,20,12,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.24590449834091962,0.7513959390862943,0.3700124571104611,0.7454417242419392,0.21748139992898344,0.24689376392571835,600.7,197.0,3.049238578680203,2.9625,50.32802359873031,8.141889550003611,119.190086791,3.049238578680203,0.7825186000710166,0.7449858691258546,0.2347770700636943,0.439556469808127,False
amazon,20,14,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2510837683198641,0.7889593908629442,0.3807891034261092,0.7772197651428464,0.18311926781836868,0.2148457075621651,619.1,197.0,3.142639593908629,3.7,50.32802359873031,8.748681275002923,119.190086791,3.142639593908629,0.8168807321816314,0.7259803958359039,0.21133757961783461,0.45071975374841894,False
amazon,20,16,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2438747153054061,0.7262690355329949,0.3624108532728944,0.7165039357045618,0.25393025383012857,0.277192233445734,571.25,197.0,2.8997461928934007,4.29375,50.32802359873031,9.108006374998467,119.190086791,2.8997461928934007,0.7460697461698714,0.714725885747814,0.27229299363057335,0.43234533000556136,False
amazon,20,18,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2450551353071199,0.6808375634517766,0.35817976674662955,0.6803599685507995,0.29008372267592863,0.31274218614910954,537.275,197.0,2.727284263959391,4.98125,50.32802359873031,9.605591700005789,119.190086791,2.727284263959391,0.7099162773240714,0.6991408930488631,0.31557324840764345,0.42335046254425196,False
amazon,20,20,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.24295977988869016,0.6836294416243655,0.35755547315261416,0.6859720115305132,0.28242404473643007,0.30499659557305164,546.025,197.0,2.771700507614213,5.7875,50.32802359873031,9.975003000010929,119.190086791,2.771700507614213,0.7175759552635699,0.6875704706024106,0.3044267515923569,0.4216129196710351,False
