dataset,L,K,radius_mode,radius_percentile,bandwidth_factor,delta,angle_alpha,sphere_layer_rule,theta_rule,norm_filter_rule,hamming_threshold_rule,lookup_rule,point_precision,point_recall,point_f1,kernel_weighted_recall,kde_abs_relative_error_vs_exact_r25,kde_abs_relative_error_vs_global,candidate_size,exact_r25_candidate_size,candidate_expansion_ratio,mean_hamming_threshold,mean_theta_deg,query_time_ms,build_time_s
amazon,2,10,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2375939192866637,0.5723350253807107,0.3355038778259064,0.5626986121853308,0.40797369313370224,0.42617914834214743,473.85,197.0,2.4053299492385785,3.875,50.32802359873031,1.0739854000021865,91.17533600000002
amazon,2,20,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.24306226328177322,0.6406091370558376,0.35161276413106257,0.6361362210034059,0.3328617293468649,0.3540798340091648,514.6,197.0,2.612182741116751,8.53125,50.32802359873031,1.3880374500018888,91.17533600000002
amazon,2,30,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2375932170094583,0.7558375634517767,0.36110660047602516,0.7292910869001897,0.23376819922956163,0.2599565430797833,619.75,197.0,3.1459390862944163,14.33125,50.32802359873031,1.5774833750000994,91.17533600000002
amazon,2,40,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.23805443766973303,0.893274111675127,0.37582207018228664,0.8681567947392578,0.09495320519542332,0.12417642384277439,736.4,197.0,3.7380710659898475,21.6875,50.32802359873031,1.7296562499993229,91.17533600000002
amazon,2,50,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.24844315923727542,0.9857868020304569,0.3968611560726293,0.9805915397531425,0.04334279860697112,0.01759465943488961,781.5,197.0,3.967005076142132,31.44375,50.32802359873031,1.89080629999836,91.17533600000002
amazon,2,60,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2329318776889276,0.8513959390862944,0.36555867458168334,0.8095666488796232,0.15117098591215072,0.1789825572715757,713.95,197.0,3.6241116751269034,31.59375,50.32802359873031,2.0223167749961135,91.17533600000002
amazon,2,70,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2310259502108729,0.6458121827411167,0.33922325485852955,0.6166038339438478,0.35538848028302816,0.3722468075603272,532.525,197.0,2.703172588832487,32.58125,50.32802359873031,2.109764700003325,91.17533600000002
amazon,2,80,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.24897985794083705,0.3813451776649746,0.29354312995004483,0.41603979103303024,0.5723375574557886,0.5777506936359325,268.4,197.0,1.3624365482233503,32.79375,50.32802359873031,2.2256374999969353,91.17533600000002
amazon,2,90,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.28748018843327855,0.22715736040609139,0.23168688730703657,0.317977610604114,0.6783195068713571,0.6799651411286837,112.925,197.0,0.5732233502538071,33.00625,50.32802359873031,2.3421322500027486,91.17533600000002
amazon,2,100,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.3335177572054133,0.11484771573604062,0.140648236897794,0.25128712414931104,0.7483338335165757,0.748593306462982,32.3,197.0,0.16395939086294414,31.31875,50.32802359873031,2.4429811999993944,91.17533600000002
