dataset,L,K,radius_mode,radius_percentile,bandwidth_factor,delta,angle_alpha,sphere_layer_rule,theta_rule,norm_filter_rule,hamming_threshold_rule,lookup_rule,point_precision,point_recall,point_f1,kernel_weighted_recall,kde_abs_relative_error_vs_exact_r25,kde_abs_relative_error_vs_global,candidate_size,exact_r25_candidate_size,candidate_expansion_ratio,mean_hamming_threshold,mean_theta_deg,query_time_ms,build_time_s
cifar10_gist512,2,10,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.4245636488274994,0.21211111111111114,0.27717254688753157,0.436991098738073,0.5626828463223686,0.5635612668258287,218.8,450.0,0.4862222222222222,1.687202380952381,17.84474377865812,1.5645240250009351,34.572199375
cifar10_gist512,2,20,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.5219816230673413,0.16,0.224728101123615,0.3815490100543602,0.6182798320073661,0.6189572585844255,124.725,450.0,0.2771666666666667,4.271577380952381,17.84474377865812,2.403786424996923,34.572199375
cifar10_gist512,2,30,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.5366909329704542,0.21555555555555558,0.2765491670943838,0.47300174359130037,0.5267680386769882,0.5277209035105054,167.75,450.0,0.37277777777777776,8.096130952380951,17.84474377865812,2.634835375001643,34.572199375
cifar10_gist512,2,40,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.5340433117734606,0.3388888888888889,0.3946532868476118,0.6638913772942506,0.3357191279494751,0.3371729155050505,277.325,450.0,0.6162777777777778,13.308333333333334,17.84474377865812,3.076915650002121,34.572199375
cifar10_gist512,2,50,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.4301968155818921,0.6627777777777777,0.5164278048115303,0.8983653272385184,0.10055438255397117,0.102713097922474,696.7,450.0,1.5482222222222222,20.47425595238095,17.84474377865812,3.1176082250013337,34.572199375
cifar10_gist512,2,60,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.6117732631193861,0.24372222222222223,0.31266410474299977,0.6010641082340757,0.39871453118350536,0.399958432610496,174.425,450.0,0.38761111111111113,19.495982142857144,17.84474377865812,3.2447645750011134,34.572199375
cifar10_gist512,2,70,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.6942537511897113,0.09227777777777776,0.12894155258564893,0.31149383491635463,0.6884699665803979,0.6887831019455073,52.025,450.0,0.11561111111111111,18.725,17.84474377865812,3.3930625249979585,34.572199375
cifar10_gist512,2,80,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.5147642280217715,0.04044444444444444,0.05573596436910457,0.1665906800383077,0.8334080447270977,0.833490460097633,19.725,450.0,0.04383333333333333,17.19047619047619,17.84474377865812,4.311296824998578,34.572199375
cifar10_gist512,2,90,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.21806644270250092,0.022333333333333334,0.03206817636031496,0.07806513495538112,0.921934856982233,0.921961134884804,10.225,450.0,0.022722222222222224,15.551636904761903,17.84474377865812,3.671532249998677,34.572199375
cifar10_gist512,2,100,query_adaptive_R25,25.0,0.14,1.6133838891983032,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.075,0.012388888888888889,0.01963044748837777,0.059011960857183486,0.9409880364099159,0.9410089945767088,5.575,450.0,0.012388888888888889,12.002083333333335,17.84474377865812,3.9533593000001583,34.572199375
