dataset,L,K,radius_mode,radius_percentile,bandwidth_factor,delta,angle_alpha,sphere_layer_rule,theta_rule,norm_filter_rule,hamming_threshold_rule,lookup_rule,point_precision,point_recall,point_f1,kernel_weighted_recall,kde_abs_relative_error_vs_exact_r25,kde_abs_relative_error_vs_global,candidate_size,exact_r25_candidate_size,candidate_expansion_ratio,mean_hamming_threshold,mean_theta_deg,query_time_ms,build_time_s
isolet,2,10,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.4300390487045037,0.3722179108154718,0.3695578225561743,0.6585234273359942,0.3414705408523611,0.3414826133818127,408.95,450.025,0.9087562207440257,1.415,15.815579646800566,1.0519416499999323,38.155421292
isolet,2,20,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.47970958806531155,0.36649753633899973,0.37492630821499,0.7080729520264138,0.291924297102118,0.29193534800401166,360.625,450.025,0.8013842079329884,3.9850000000000003,15.815579646800566,1.6964665750000663,38.155421292
isolet,2,30,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.5013459246406253,0.412050135501355,0.40926911414336997,0.8251540292583932,0.17484286973889512,0.17485532645788388,406.1,450.025,0.9024368070953436,7.515000000000001,15.815579646800566,2.218419799999616,38.155421292
isolet,2,40,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.4667353645583857,0.5305941118502094,0.4677711877833424,0.9280872419439813,0.071907135263061,0.07192151836690766,555.4,450.025,1.23420054200542,12.465,15.815579646800566,2.5032270999995276,38.155421292
isolet,2,50,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.4000205003468052,0.671630327666913,0.4973987867533829,0.9586256710699093,0.041365595463473695,0.04138155474060796,772.1,450.025,1.715720620842572,19.189999999999998,15.815579646800566,2.7981696999992423,38.155421292
isolet,2,60,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.5285493437968064,0.48265422517861545,0.4593181995006309,0.8777479662207284,0.12224824171850153,0.12226208435216768,469.85,450.025,1.0440976841586598,18.130000000000003,15.815579646800566,4.067419825000762,38.155421292
isolet,2,70,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.6166480626337243,0.3654945799457995,0.3883600131901465,0.817673191863895,0.18232500014634562,0.18233680834000426,325.8,450.025,0.7239945799457995,17.395000000000003,15.815579646800566,3.37620525000073,38.155421292
isolet,2,80,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.7301882089442306,0.23955493964030553,0.2949130751998382,0.6582311599307162,0.34176824299449315,0.34177835116508354,178.9,450.025,0.39755493964030547,15.789999999999997,15.815579646800566,3.43155307500016,38.155421292
isolet,2,90,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.7390697695524213,0.14683321015028333,0.20354810817797758,0.5129764294916643,0.48702331109298436,0.4870313284910595,94.225,450.025,0.20938876570583886,14.389999999999997,15.815579646800566,3.6360918000003295,38.155421292
isolet,2,100,query_adaptive_R25,25.0,0.14,3.3612990379333496,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.5387062032603248,0.051444444444444445,0.08595236985144133,0.27189543767076596,0.7281045272335025,0.7281054987966036,26.2,450.025,0.05822222222222222,10.825,15.815579646800566,3.7789040999994583,38.155421292
