dataset,L,K,radius_mode,radius_percentile,bandwidth_factor,delta,angle_alpha,sphere_layer_rule,theta_rule,norm_filter_rule,hamming_threshold_rule,lookup_rule,point_precision,point_recall,point_f1,kernel_weighted_recall,kde_abs_relative_error_vs_exact_r25,kde_abs_relative_error_vs_global,candidate_size,exact_r25_candidate_size,candidate_expansion_ratio,mean_hamming_threshold,mean_theta_deg,query_time_ms,build_time_s,candidate_to_true_ratio,kde_quality,recall_feasible,speed_quality,expansion_quality,optimal_score
amazon,2,10,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2375939192866637,0.5723350253807107,0.3355038778259064,0.5626986121853308,0.4079736931337022,0.4261791483421474,473.85,197.0,2.4053299492385785,3.875,50.32802359873031,1.0739854000021865,91.17533600000002,2.4053299492385785,0.5920263068662979,False,0.5603791793393855,0.39636942675159237,0.3787662151165834
amazon,2,20,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2430622632817732,0.6406091370558376,0.3516127641310625,0.6361362210034059,0.3328617293468649,0.3540798340091648,514.6,197.0,2.612182741116751,8.53125,50.32802359873031,1.3880374500018888,91.17533600000002,2.612182741116751,0.667138270653135,False,0.43182638900281634,0.34445859872611473,0.3852119699365407
amazon,2,30,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2375932170094583,0.7558375634517767,0.3611066004760251,0.7292910869001897,0.2337681992295616,0.2599565430797833,619.75,197.0,3.1459390862944163,14.33125,50.32802359873031,1.5774833750000994,91.17533600000002,3.1459390862944163,0.7662318007704384,False,0.35427936367234825,0.2105095541401274,0.3862435284139652
amazon,2,40,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.238054437669733,0.893274111675127,0.3758220701822866,0.8681567947392578,0.0949532051954233,0.1241764238427743,736.4,197.0,3.738071065989848,21.6875,50.32802359873031,1.7296562499993229,91.17533600000002,3.738071065989848,0.9050467948045767,False,0.2919895372098027,0.06191082802547765,0.39359225738057074
amazon,2,50,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2484431592372754,0.9857868020304568,0.3968611560726293,0.9805915397531424,0.0433427986069711,0.0175946594348896,781.5,197.0,3.967005076142132,31.44375,50.32802359873031,1.89080629999836,91.17533600000002,3.967005076142132,0.9566572013930289,True,0.22602503040185962,0.004458598726114649,0.4101395961698407
amazon,2,60,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2329318776889276,0.8513959390862944,0.3655586745816833,0.8095666488796232,0.1511709859121507,0.1789825572715757,713.95,197.0,3.624111675126904,31.59375,50.32802359873031,2.022316774996113,91.17533600000002,3.624111675126904,0.8488290140878493,False,0.17219306681663604,0.09050955414012729,0.37864377980493086
amazon,2,70,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2310259502108729,0.6458121827411167,0.3392232548585295,0.6166038339438478,0.3553884802830281,0.3722468075603272,532.525,197.0,2.703172588832487,32.58125,50.32802359873031,2.109764700003325,91.17533600000002,2.703172588832487,0.644611519716972,False,0.1363974884440995,0.32162420382165613,0.3607105682968803
amazon,2,80,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.248979857940837,0.3813451776649746,0.2935431299500448,0.4160397910330302,0.5723375574557886,0.5777506936359325,268.4,197.0,1.3624365482233505,32.79375,50.32802359873031,2.2256374999969357,91.17533600000002,1.3624365482233505,0.4276624425442114,False,0.08896658721831863,0.6580891719745223,0.34441580065781413
amazon,2,90,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2874801884332785,0.2271573604060913,0.2316868873070365,0.317977610604114,0.6783195068713571,0.6799651411286837,112.925,197.0,0.5732233502538071,33.00625,50.32802359873031,2.3421322500027486,91.17533600000002,0.5732233502538071,0.3216804931286429,False,0.0412810995011631,0.8561464968152867,0.3288779592443518
amazon,2,100,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.3335177572054133,0.1148477157360406,0.140648236897794,0.251287124149311,0.7483338335165757,0.748593306462982,32.3,197.0,0.1639593908629441,31.31875,50.32802359873031,2.4429811999993944,91.17533600000002,0.1639593908629441,0.2516661664834243,False,0.0,0.9588535031847134,0.29940389084049635
